key,value
experiment_id,"exp-ekf-noise-transfer"
estimator,"ekf"
status,"completed"
bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_000/dataset_allsensor_000_0.db3"
noise_model,"/home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise_inflated.yaml"
output_dir,"/home/ambushee/wil_project/output/output_ekf_vslamcfg/simulation/dataset_allsensor_000"
imu_gyro_sigma_z,"0.028284271247474763"
imu_accel_sigma_x,"0.2828427124747476"
imu_gyro_bias_rw,"0.0001"
imu_gyro_bias_rw_source,"VSLAM config (inflated preset), not measured"
wheel_speed_sigma,"0.04068130046314097"
noise_model_bag,"/home/ambushee/wil_project/dataset/dataset_allsensor_000/dataset_allsensor_000_0.db3"
noise_model_override,"inflated"
noise_model_is_foreign,"False"
command,"script/proprio_estimator.py run --estimator ekf --bag /home/ambushee/wil_project/dataset/dataset_allsensor_000/dataset_allsensor_000_0.db3 --noise /home/ambushee/wil_project/output/compare/simulation/exp-estimator-baseline/noise/dataset_allsensor_000/sensor_noise_inflated.yaml --experiment-id exp-ekf-noise-transfer --out /home/ambushee/wil_project/output/output_ekf_vslamcfg/simulation/dataset_allsensor_000 --allow-foreign-noise"
generated,"2026-09-20T21:40:38"
git_commit_superproject,"b3785cddf494273d51e8a55098d7fe0ecb89d7bf"
wheel_radius_m,"0.0585"
wheel_base_m,"0.42"
wheel_separation_m,"0.42"
initial_pose_source,"ground truth at first estimator sample (dead reckoning has no global reference)"
imu_orientation_used,"NO - field equals ground-truth yaw and is excluded by design; yaw is integrated from angular_velocity.z"
pose_count,"17416"
first_stamp_s,"98.91"
last_stamp_s,"185.985"
duration_s,"87.07500000000002"
mean_rate_hz,"200.0114843525696"
gt_count,"4354"
gt_first_stamp_s,"98.92"
gt_last_stamp_s,"185.98"
source_covariances_populated,"none (all zero in bag)"
param_yaw_rate_model,"bicycle"
param_updates,"4355"
param_speed_sigma,"0.04068130046314097"
param_yaw_sigma,"0.06587401961518753"
param_gyro_bias_final,"0.0026577579409058534"
param_gyro_bias_initial,"6.48448627588984e-05"
